date,amount,merchant,category,budget,month,day_of_week,week,merchant_encoded,category_encoded,cluster,anomaly,is_anomaly
2025-05-10,40.54,Target,Shopping,300.0,5,5,19,15,4,2,1,False
2025-05-10,96.96,Duke Energy,Utilities,200.0,5,5,19,6,6,6,1,False
2025-05-10,11.53,Duke Energy,Utilities,200.0,5,5,19,6,6,6,1,False
2025-05-10,95.49,Delta Airlines,Transport,150.0,5,5,19,5,5,6,1,False
2025-05-10,76.65,CVS Pharmacy,Health,100.0,5,5,19,3,3,6,1,False
2025-05-10,185.39,CVS Pharmacy,Health,100.0,5,5,19,3,3,5,1,False
2025-05-10,158.74,Target,Shopping,300.0,5,5,19,15,4,0,1,False
2025-05-11,15.35,McDonalds,Dining,200.0,5,6,19,9,0,6,1,False
2025-05-11,116.27,McDonalds,Dining,200.0,5,6,19,9,0,6,1,False
2025-05-11,43.92,Gym Membership,Health,100.0,5,6,19,7,3,6,1,False
2025-05-11,193.33,Chipotle,Dining,200.0,5,6,19,4,0,5,1,False
2025-05-11,156.3,Shell Gas,Transport,150.0,5,6,19,12,5,0,1,False
2025-05-11,128.45,Chipotle,Dining,200.0,5,6,19,4,0,6,1,False
2025-05-11,192.6,AMC Theaters,Entertainment,100.0,5,6,19,0,1,5,-1,True
2025-05-11,98.27,Kroger,Groceries,400.0,5,6,19,8,2,6,1,False
2025-05-12,139.39,Duke Energy,Utilities,200.0,5,0,20,6,6,3,1,False
2025-05-12,168.04,Uber,Transport,150.0,5,0,20,17,5,1,1,False
2025-05-12,156.59,Trader Joes,Groceries,400.0,5,0,20,16,2,1,1,False
2025-05-12,84.05,AMC Theaters,Entertainment,100.0,5,0,20,0,1,3,1,False
2025-05-12,64.1,Water Dept,Utilities,200.0,5,0,20,18,6,4,1,False
2025-05-12,136.26,McDonalds,Dining,200.0,5,0,20,9,0,3,1,False
2025-05-12,10.22,Gym Membership,Health,100.0,5,0,20,7,3,4,1,False
2025-05-12,116.26,Amazon,Shopping,300.0,5,0,20,2,4,3,1,False
2025-05-13,63.55,Spotify,Entertainment,100.0,5,1,20,13,1,4,1,False
